CustomerID,Lookalikes
C0033,"[('C0058', 0.9999086240089098), ('C0150', 0.999902465786946), ('C0198', 0.9994430719538165)]"
C0034,"[('C0056', 0.9963487853188219), ('C0027', 0.9931655214728411), ('C0175', 0.9687662522424505)]"
C0035,"[('C0177', 0.9984337403086927), ('C0017', 0.9882603445865651), ('C0064', 0.9832972801429518)]"
C0036,"[('C0135', 0.978959246468301), ('C0079', 0.9764000412130931), ('C0182', 0.9604498146274256)]"
C0037,"[('C0038', 0.9997414185794857), ('C0073', 0.9928303347550653), ('C0160', 0.9906997396935413)]"
C0038,"[('C0037', 0.9997414185794857), ('C0073', 0.9952861207361346), ('C0160', 0.987360721273497)]"
C0039,"[('C0170', 0.9972903756476144), ('C0195', 0.9942773495179942), ('C0059', 0.9891646387996683)]"
C0040,"[('C0092', 0.9983952236369212), ('C0093', 0.9897091149996656), ('C0022', 0.9813364223237954)]"
C0041,"[('C0057', 0.9702024850231973), ('C0065', 0.9546534984901187), ('C0075', 0.9534016328078689)]"
C0042,"[('C0010', 0.999988411087805), ('C0083', 0.9999678490643998), ('C0029', 0.9968302093493389)]"
C0043,"[('C0139', 0.9816464405947416), ('C0167', 0.9807052509497346), ('C0082', 0.9803027049502524)]"
C0044,"[('C0013', 0.9914925852032974), ('C0077', 0.9872360150896485), ('C0176', 0.9851650347576202)]"
C0045,"[('C0181', 0.990922031925067), ('C0096', 0.9861986877764174), ('C0184', 0.9831479195354376)]"
C0046,"[('C0013', 0.9863074422911702), ('C0175', 0.982975518303134), ('C0200', 0.9751513995760488)]"
C0047,"[('C0090', 0.9926766667073699), ('C0119', 0.9889713860108188), ('C0154', 0.9877401631845741)]"
C0048,"[('C0116', 0.991698920642581), ('C0100', 0.9783275822639182), ('C0086', 0.9639376276643392)]"
C0049,"[('C0190', 0.9947096932624208), ('C0027', 0.9772369958627941), ('C0009', 0.9744183865936725)]"
C0050,"[('C0112', 0.9999808075906482), ('C0125', 0.9992573167966765), ('C0023', 0.9987851267849279)]"
C0051,"[('C0018', 0.9947834035340954), ('C0094', 0.9914851081900588), ('C0168', 0.9873990782124626)]"
C0052,"[('C0025', 0.9995102049063677), ('C0073', 0.9967927142877372), ('C0121', 0.9942884942244232)]"
C0053,"[('C0114', 0.9777901209432138), ('C0028', 0.9745332768020522), ('C0054', 0.9483794595953332)]"
C0054,"[('C0194', 0.9645558283169245), ('C0008', 0.9641192093677214), ('C0048', 0.9523091414679736)]"
C0055,"[('C0170', 0.9916000180844081), ('C0008', 0.9879292831808771), ('C0173', 0.9859662686900607)]"
C0056,"[('C0034', 0.9963487853188219), ('C0027', 0.9919679489506948), ('C0175', 0.9756861606014193)]"
C0057,"[('C0065', 0.983815655238855), ('C0147', 0.9769858197261824), ('C0064', 0.9767753804851417)]"
C0058,"[('C0150', 0.9999949063830897), ('C0033', 0.9999086240089098), ('C0198', 0.9995509795934844)]"
C0059,"[('C0086', 0.9981252458073602), ('C0195', 0.9920087807831387), ('C0039', 0.9891646387996683)]"
C0060,"[('C0151', 0.9998957661552051), ('C0014', 0.9997974733121672), ('C0097', 0.9997552887362836)]"
C0061,"[('C0153', 0.9889017064597122), ('C0132', 0.9785089680942876), ('C0142', 0.9781001192579506)]"
C0062,"[('C0150', 0.9966924650519079), ('C0058', 0.9966904838495062), ('C0033', 0.9965964956788406)]"
C0063,"[('C0193', 0.9999996811697109), ('C0171', 0.999999463872331), ('C0078', 0.9999979216918335)]"
C0064,"[('C0065', 0.9874999545753159), ('C0177', 0.9837104564072585), ('C0035', 0.9832972801429518)]"
C0065,"[('C0064', 0.9874999545753159), ('C0057', 0.983815655238855), ('C0146', 0.98154634265615)]"
C0066,"[('C0192', 0.9981381129368202), ('C0072', 0.9930419211338171), ('C0091', 0.9852090635278146)]"
C0067,"[('C0105', 0.9875585674962096), ('C0190', 0.9831331256187834), ('C0009', 0.975676164586347)]"
C0068,"[('C0168', 0.9996348459162583), ('C0186', 0.9956735053164176), ('C0023', 0.9953340101114956)]"
C0069,"[('C0120', 0.9998030231767161), ('C0020', 0.999802619146615), ('C0130', 0.9998018169653818)]"
C0070,"[('C0191', 0.9968290992636034), ('C0019', 0.9860193098066596), ('C0126', 0.9728011846325602)]"
C0071,"[('C0136', 0.9991893645042089), ('C0015', 0.990894620465825), ('C0076', 0.9537376289147229)]"
C0072,"[('C0088', 0.9960515839722773), ('C0066', 0.9930419211338171), ('C0192', 0.9924237745009596)]"
C0073,"[('C0025', 0.9974696736834803), ('C0052', 0.9967927142877372), ('C0038', 0.9952861207361346)]"
C0074,"[('C0011', 0.9933421269877721), ('C0188', 0.9847202470832661), ('C0132', 0.9798233586955459)]"
C0075,"[('C0146', 0.9961083673558019), ('C0004', 0.9943479392194652), ('C0154', 0.9867469610715187)]"
C0076,"[('C0136', 0.9601723141662822), ('C0071', 0.9537376289147229), ('C0138', 0.9525740040194257)]"
C0077,"[('C0099', 0.9938421738796835), ('C0044', 0.9872360150896485), ('C0176', 0.9846202715181972)]"
C0078,"[('C0171', 0.9999990659640895), ('C0193', 0.9999984188707313), ('C0063', 0.9999979216918335)]"
C0079,"[('C0196', 0.9908995314668289), ('C0124', 0.9897321213025186), ('C0182', 0.9896691846130743)]"
C0080,"[('C0128', 0.9999995475875624), ('C0089', 0.9999994023161879), ('C0110', 0.9999991947232058)]"
C0081,"[('C0200', 0.9912880475957926), ('C0006', 0.9901261447783123), ('C0135', 0.9786314601028099)]"
C0082,"[('C0161', 0.9898614641967606), ('C0165', 0.9849156399224723), ('C0043', 0.9803027049502524)]"
C0083,"[('C0042', 0.9999678490643998), ('C0010', 0.9999546343277068), ('C0029', 0.9966084538092255)]"
C0084,"[('C0183', 0.9983557661749379), ('C0102', 0.9955556846020596), ('C0032', 0.9887332643421652)]"
C0085,"[('C0127', 0.9948581044610112), ('C0005', 0.985801582848327), ('C0163', 0.9849311662780857)]"
C0086,"[('C0059', 0.9981252458073602), ('C0104', 0.9849804875826497), ('C0195', 0.983611212348739)]"
C0087,"[('C0094', 0.9911386411323595), ('C0051', 0.9810136308485734), ('C0068', 0.9749382734934054)]"
C0088,"[('C0072', 0.9960515839722773), ('C0105', 0.9930383945867346), ('C0192', 0.9896350066101784)]"
C0089,"[('C0080', 0.9999994023161879), ('C0128', 0.9999984355034607), ('C0110', 0.9999982257797919)]"
C0090,"[('C0154', 0.9955355810944501), ('C0047', 0.9926766667073699), ('C0119', 0.9887744338781402)]"
C0091,"[('C0001', 0.9936678528217004), ('C0140', 0.9917628694025642), ('C0069', 0.9857514706517152)]"
C0092,"[('C0040', 0.9983952236369212), ('C0093', 0.9869871812233036), ('C0107', 0.9767892695001242)]"
C0093,"[('C0107', 0.993421754095247), ('C0040', 0.9897091149996656), ('C0022', 0.9872759392434423)]"
C0094,"[('C0068', 0.9949495457951493), ('C0168', 0.9949140787023513), ('C0186', 0.9917827914455123)]"
C0095,"[('C0089', 0.9996685863906051), ('C0080', 0.9996680600071453), ('C0128', 0.999666784577459)]"
C0096,"[('C0045', 0.9861986877764174), ('C0194', 0.9712159706742078), ('C0067', 0.963115087029386)]"
C0097,"[('C0128', 0.9999763905374587), ('C0110', 0.9999761464512917), ('C0080', 0.9999710807597008)]"
C0098,"[('C0092', 0.9658713100260461), ('C0093', 0.9639338846276387), ('C0034', 0.96228457453255)]"
C0099,"[('C0142', 0.9966975102695061), ('C0132', 0.9965396685732947), ('C0077', 0.9938421738796835)]"
C0100,"[('C0162', 0.9921470176322773), ('C0113', 0.9818496600757364), ('C0086', 0.9788220385650924)]"
C0101,"[('C0021', 0.9868850637424035), ('C0028', 0.9811193887996997), ('C0016', 0.9627570507523218)]"
C0102,"[('C0183', 0.9984448274053095), ('C0084', 0.9955556846020596), ('C0032', 0.9803417945749355)]"
C0103,"[('C0138', 0.9880662929895939), ('C0124', 0.9851600270557046), ('C0196', 0.9836494875670936)]"
C0104,"[('C0059', 0.9856439157357106), ('C0086', 0.9849804875826497), ('C0039', 0.9710531229779893)]"
C0105,"[('C0088', 0.9930383945867346), ('C0032', 0.9912841223006205), ('C0067', 0.9875585674962096)]"
C0106,"[('C0149', 0.9967722937443313), ('C0129', 0.9895708767309874), ('C0159', 0.977785454010708)]"
C0107,"[('C0093', 0.993421754095247), ('C0029', 0.9916318274290402), ('C0022', 0.9844358751136756)]"
C0108,"[('C0169', 0.9849539296771991), ('C0185', 0.9783732127784612), ('C0167', 0.9772047115552076)]"
C0109,"[('C0145', 0.9869444576022519), ('C0129', 0.9814717710220429), ('C0149', 0.9784226022337226)]"
C0110,"[('C0128', 0.9999999065153778), ('C0080', 0.9999991947232058), ('C0089', 0.9999982257797919)]"
C0111,"[('C0022', 0.9986461138363164), ('C0062', 0.9942254544353737), ('C0198', 0.9915999603890141)]"
C0112,"[('C0050', 0.9999808075906482), ('C0125', 0.9994661563419222), ('C0023', 0.9990550134854244)]"
C0113,"[('C0162', 0.9959640289779532), ('C0127', 0.9850173267037456), ('C0100', 0.9818496600757364)]"
C0114,"[('C0028', 0.9808369912057374), ('C0053', 0.9777901209432138), ('C0087', 0.9645569888053764)]"
C0115,"[('C0019', 0.9797936686310502), ('C0068', 0.9728363153818959), ('C0168', 0.9662349908714595)]"
C0116,"[('C0048', 0.991698920642581), ('C0100', 0.9788028720075881), ('C0113', 0.970112865032442)]"
C0117,"[('C0141', 0.9921841854610531), ('C0011', 0.9875991604235866), ('C0188', 0.9857853996217498)]"
C0118,"[('C0161', 0.9784281670460621), ('C0064', 0.9749638303599294), ('C0057', 0.9713259478062832)]"
C0119,"[('C0047', 0.9889713860108188), ('C0090', 0.9887744338781402), ('C0127', 0.9782947921610424)]"
C0120,"[('C0020', 0.9999992538259524), ('C0130', 0.9999991581458327), ('C0069', 0.9998030231767161)]"
C0121,"[('C0025', 0.994374576172055), ('C0052', 0.9942884942244232), ('C0073', 0.9942513610620712)]"
C0122,"[('C0047', 0.9851889685574067), ('C0154', 0.9719025537141132), ('C0051', 0.9703511430852683)]"
C0123,"[('C0080', 0.9930908477896548), ('C0089', 0.993090583501636), ('C0128', 0.9930898193273592)]"
C0124,"[('C0196', 0.9992560462883466), ('C0138', 0.9981291515327344), ('C0182', 0.9966467530354838)]"
C0125,"[('C0023', 0.9999409728097997), ('C0186', 0.9998961513438316), ('C0112', 0.9994661563419222)]"
C0126,"[('C0171', 0.988401323936822), ('C0078', 0.9884007135429549), ('C0193', 0.9884007032882878)]"
C0127,"[('C0085', 0.9948581044610112), ('C0113', 0.9850173267037456), ('C0119', 0.9782947921610424)]"
C0128,"[('C0110', 0.9999999065153778), ('C0080', 0.9999995475875624), ('C0089', 0.9999984355034607)]"
C0129,"[('C0106', 0.9895708767309874), ('C0149', 0.9888639620411073), ('C0109', 0.9814717710220429)]"
C0130,"[('C0120', 0.9999991581458327), ('C0020', 0.9999980270603384), ('C0069', 0.9998018169653818)]"
C0131,"[('C0174', 0.9999200411085961), ('C0171', 0.9938055967814186), ('C0078', 0.9938052710948082)]"
C0132,"[('C0142', 0.9999974000888475), ('C0099', 0.9965396685732947), ('C0077', 0.9815935713652136)]"
C0133,"[('C0178', 0.9703899333311163), ('C0144', 0.9529759274488702), ('C0076', 0.943585208001558)]"
C0134,"[('C0002', 0.9988506844325151), ('C0143', 0.9985821298418825), ('C0158', 0.991251510578326)]"
C0135,"[('C0036', 0.978959246468301), ('C0081', 0.9786314601028099), ('C0006', 0.9673765894912947)]"
C0136,"[('C0071', 0.9991893645042089), ('C0015', 0.984676998961333), ('C0076', 0.9601723141662822)]"
C0137,"[('C0160', 0.9945048196502017), ('C0187', 0.9922250057131539), ('C0147', 0.9903351407473334)]"
C0138,"[('C0124', 0.9981291515327344), ('C0196', 0.9951827454903429), ('C0182', 0.9911285911631238)]"
C0139,"[('C0131', 0.9891569399108527), ('C0174', 0.988991167127518), ('C0137', 0.9857687742198817)]"
C0140,"[('C0069', 0.9982844285706378), ('C0001', 0.9969867161764148), ('C0120', 0.9969264923987325)]"
C0141,"[('C0117', 0.9921841854610531), ('C0156', 0.977738865180449), ('C0046', 0.9699401039608831)]"
C0142,"[('C0132', 0.9999974000888475), ('C0099', 0.9966975102695061), ('C0077', 0.9819683688461409)]"
C0143,"[('C0134', 0.9985821298418825), ('C0002', 0.9984231418083602), ('C0158', 0.9946695363612571)]"
C0144,"[('C0089', 0.9946811917050414), ('C0080', 0.9946809028216668), ('C0110', 0.9946805452404297)]"
C0145,"[('C0109', 0.9869444576022519), ('C0030', 0.9686749095423813), ('C0149', 0.96409642348646)]"
C0146,"[('C0075', 0.9961083673558019), ('C0004', 0.988167716043917), ('C0154', 0.9862496957264709)]"
C0147,"[('C0187', 0.9991785690151186), ('C0160', 0.9947574225258147), ('C0137', 0.9903351407473334)]"
C0148,"[('C0152', 0.9907350967835202), ('C0012', 0.9883633651062756), ('C0197', 0.9780552734239469)]"
C0149,"[('C0106', 0.9967722937443313), ('C0129', 0.9888639620411073), ('C0159', 0.9816029287987614)]"
C0150,"[('C0058', 0.9999949063830897), ('C0033', 0.999902465786946), ('C0198', 0.9995519627080228)]"
C0151,"[('C0014', 0.9999180388363772), ('C0097', 0.9999075568793173), ('C0110', 0.9998968089070559)]"
C0152,"[('C0012', 0.999850975238718), ('C0148', 0.9907350967835202), ('C0199', 0.9896470698128651)]"
C0153,"[('C0061', 0.9889017064597122), ('C0043', 0.9764547987268708), ('C0082', 0.9731801964500476)]"
C0154,"[('C0090', 0.9955355810944501), ('C0047', 0.9877401631845741), ('C0075', 0.9867469610715187)]"
C0155,"[('C0165', 0.9884734808974687), ('C0161', 0.9755722095526173), ('C0070', 0.9707817464243028)]"
C0156,"[('C0027', 0.9807380537939939), ('C0141', 0.977738865180449), ('C0049', 0.9743202198664478)]"
C0157,"[('C0026', 0.9759096998769161), ('C0001', 0.9739995184817654), ('C0181', 0.9728641875162997)]"
C0158,"[('C0143', 0.9946695363612571), ('C0134', 0.991251510578326), ('C0002', 0.9878551356350314)]"
C0159,"[('C0002', 0.9905501434854227), ('C0143', 0.9852568765575062), ('C0134', 0.9828430308222743)]"
C0160,"[('C0187', 0.9956568173923844), ('C0147', 0.9947574225258147), ('C0137', 0.9945048196502017)]"
C0161,"[('C0082', 0.9898614641967606), ('C0043', 0.9794049538726413), ('C0118', 0.9784281670460621)]"
C0162,"[('C0113', 0.9959640289779532), ('C0100', 0.9921470176322773), ('C0166', 0.9905669045388765)]"
C0163,"[('C0007', 0.9996647685556813), ('C0003', 0.9976764753499918), ('C0005', 0.9968848831027564)]"
C0164,"[('C0172', 0.9862764467830969), ('C0199', 0.9659281471908179), ('C0012', 0.9615018429733195)]"
C0165,"[('C0155', 0.9884734808974687), ('C0082', 0.9849156399224723), ('C0016', 0.9767381106128893)]"
C0166,"[('C0162', 0.9905669045388765), ('C0003', 0.988826014273233), ('C0113', 0.980854787955527)]"
C0167,"[('C0043', 0.9807052509497346), ('C0169', 0.9791911093113036), ('C0108', 0.9772047115552076)]"
C0168,"[('C0068', 0.9996348459162583), ('C0186', 0.9978171824592992), ('C0023', 0.9975757551583603)]"
C0169,"[('C0006', 0.9919851644958835), ('C0185', 0.9862282273160957), ('C0108', 0.9849539296771991)]"
C0170,"[('C0039', 0.9972903756476144), ('C0055', 0.9916000180844081), ('C0195', 0.9845940269500837)]"
C0171,"[('C0193', 0.9999996520384536), ('C0063', 0.999999463872331), ('C0078', 0.9999990659640895)]"
C0172,"[('C0199', 0.9863400714945694), ('C0164', 0.9862764467830969), ('C0095', 0.9681269873022004)]"
C0173,"[('C0055', 0.9859662686900607), ('C0008', 0.9740580808629381), ('C0182', 0.9658325637868883)]"
C0174,"[('C0131', 0.9999200411085961), ('C0193', 0.9938705333525617), ('C0171', 0.9938704902835062)]"
C0175,"[('C0046', 0.982975518303134), ('C0056', 0.9756861606014193), ('C0034', 0.9687662522424505)]"
C0176,"[('C0083', 0.9866909030351815), ('C0042', 0.9855303965232318), ('C0010', 0.9852826511479232)]"
C0177,"[('C0035', 0.9984337403086927), ('C0017', 0.9909014186503042), ('C0064', 0.9837104564072585)]"
C0178,"[('C0158', 0.982857417052815), ('C0134', 0.9827968350396956), ('C0143', 0.9779594309843721)]"
C0179,"[('C0017', 0.9911921584729685), ('C0154', 0.9855725511607712), ('C0177', 0.9801476424084812)]"
C0180,"[('C0097', 0.007270227878359991), ('C0128', 0.001293332345765261), ('C0043', 0.0012491938399190482)]"
C0181,"[('C0026', 0.9931108793330296), ('C0045', 0.990922031925067), ('C0184', 0.9778700985047495)]"
C0182,"[('C0196', 0.9983468403507498), ('C0124', 0.9966467530354838), ('C0138', 0.9911285911631238)]"
C0183,"[('C0102', 0.9984448274053095), ('C0084', 0.9983557661749379), ('C0032', 0.9877789199253915)]"
C0184,"[('C0045', 0.9831479195354376), ('C0102', 0.979510242737721), ('C0181', 0.9778700985047495)]"
C0185,"[('C0006', 0.9934702881925904), ('C0169', 0.9862282273160957), ('C0108', 0.9783732127784612)]"
C0186,"[('C0023', 0.9999911533990385), ('C0125', 0.9998961513438316), ('C0112', 0.998894003444685)]"
C0187,"[('C0147', 0.9991785690151186), ('C0160', 0.9956568173923844), ('C0137', 0.9922250057131539)]"
C0188,"[('C0011', 0.9933998131322856), ('C0016', 0.9898492094359154), ('C0117', 0.9857853996217498)]"
C0189,"[('C0025', 0.9953475001618866), ('C0052', 0.9930080978333604), ('C0073', 0.9878599976376394)]"
C0190,"[('C0049', 0.9947096932624208), ('C0009', 0.9914574343850664), ('C0067', 0.9831331256187834)]"
C0191,"[('C0070', 0.9968290992636034), ('C0126', 0.9881222660300572), ('C0019', 0.9696339941172898)]"
C0192,"[('C0066', 0.9981381129368202), ('C0072', 0.9924237745009596), ('C0088', 0.9896350066101784)]"
C0193,"[('C0063', 0.9999996811697109), ('C0171', 0.9999996520384536), ('C0078', 0.9999984188707313)]"
C0194,"[('C0096', 0.9712159706742078), ('C0054', 0.9645558283169245), ('C0045', 0.9523961331190426)]"
C0195,"[('C0039', 0.9942773495179942), ('C0059', 0.9920087807831387), ('C0170', 0.9845940269500837)]"
C0196,"[('C0124', 0.9992560462883466), ('C0182', 0.9983468403507498), ('C0138', 0.9951827454903429)]"
C0197,"[('C0007', 0.9944353781342287), ('C0163', 0.9913762590922269), ('C0003', 0.9911642771381624)]"
C0198,"[('C0150', 0.9995519627080228), ('C0058', 0.9995509795934844), ('C0033', 0.9994430719538165)]"
C0199,"[('C0012', 0.9919546447994143), ('C0152', 0.9896470698128651), ('C0172', 0.9863400714945694)]"
C0200,"[('C0081', 0.9912880475957926), ('C0046', 0.9751513995760488), ('C0099', 0.9728509186855961)]"
